,#Polygon_1,,
X1,38.70860869880051,Y1,-9.123913306323857 
X2,38.701642770700474,Y2,-9.177814978687138 
X3,38.722806373588625,Y3,-9.176441687671513 
X4,38.737804626069824,Y4,-9.10159732731995 
,#Polygon_2,,
X5,38.69167335183297,Y5,-9.216156005859375 
X6,38.700571029222125,Y6,-9.177814978687138 
X7,38.723180567011006,Y7,-9.176386127038995 
X8,38.7162692338634,Y8,-9.221676950238248 
,#Polygon_3,,
X9,38.73807242339019,Y9,-9.10159732731995 
X10,38.72837591823979,Y10,-9.152641296386719 
X11,38.75397698192128,Y11,-9.157675036951105 
X12,38.760831525277545,Y12,-9.092670935718388 
,#Polygon_4,,
X13,38.76672093432558,Y13,-9.16030551823792 
X14,38.728431087266266,Y14,-9.152409094898076 
X15,38.72280637358865,Y15,-9.179188269702763 
X16,38.76324088773273,Y16,-9.18948795231995 
,#Polygon_5,,
X17,38.742089262697505,Y17,-9.184681433765263 
X18,38.735662211358296,Y18,-9.2306866827887 
X19,38.716377587215895,Y19,-9.222790259448857 
X20,38.72280637358865,Y20,-9.179188269702763 
,#Polygon_6,,
X21,38.7991039942624,Y21,-9.090954321948857 
X22,38.76136694618673,Y22,-9.093700903980107 
X23,38.75788663846876,Y23,-9.126659888355107 
X24,38.79736478220663,Y24,-9.129921454517216 
,#Polygon_7,,
X25,38.798836425939534,Y25,-9.102283972827763 
X26,38.79696341955079,Y26,-9.164425391284794 
X27,38.79749856925627,Y27,-9.129749793140263 
X28,38.75815436047288,Y28,-9.126144904224248 
,#Polygon_8,,
X30,38.79455519614865,Y30,-9.19875766667542 
X31,38.796963419550735,Y31,-9.164425391284794 
X32,38.76739015459558,Y32,-9.15979053410706 
X33,38.76277240695986,Y33,-9.189230460254521 
,#Polygon_9,,
X34,38.73593001671167,Y34,-9.2306866827887 
X35,38.74256966613671,Y35,-9.1845703125 
X36,38.773906830650795,Y36,-9.19266617753317 
X37,38.76348101869126,Y37,-9.240587482019464 
,#Polygon_10,,
X38,38.78759764924314,Y38,-9.243732947437138 
X39,38.79428761074775,Y39,-9.19875766667542 
X40,38.773881265449766,Y40,-9.192320365039677 
X41,38.76364244023284,Y41,-9.240814704028935 
